dataset,dataset_label,shot,paired_n,mean_delta_oh_minus_lora,std_delta,ci95_low,ci95_high,ci95_half_width,wins,ties,losses
fgvc,Aircraft,1,3,1.940194,0.841333,-0.149962,4.030350,2.090156,3,0,0
fgvc,Aircraft,4,3,0.710071,0.544481,-0.642603,2.062745,1.352674,3,0,0
fgvc,Aircraft,16,3,-0.360036,0.270027,-1.030874,0.310802,0.670838,0,0,3
eurosat,EuroSAT,1,3,1.543210,0.880966,-0.645408,3.731828,2.188618,3,0,0
eurosat,EuroSAT,4,3,1.419753,0.828817,-0.639309,3.478815,2.059062,3,0,0
eurosat,EuroSAT,16,3,0.251029,0.250083,-0.370261,0.872318,0.621290,3,0,0
food101,Food,1,3,1.034103,0.210299,0.511648,1.556558,0.522455,3,0,0
food101,Food,4,3,0.455446,0.086504,0.240541,0.670351,0.214905,3,0,0
food101,Food,16,3,-0.056106,0.264624,-0.713521,0.601310,0.657415,1,0,2
oxford_pets,Pets,1,3,1.208322,0.809138,-0.801849,3.218493,2.010171,3,0,0
oxford_pets,Pets,4,3,0.508767,0.473909,-0.668584,1.686118,1.177351,2,0,1
oxford_pets,Pets,16,3,0.272554,0.500342,-0.970466,1.515573,1.243020,2,0,1
oxford_flowers,Flowers,1,3,0.189471,1.204645,-2.803275,3.182217,2.992746,2,0,1
oxford_flowers,Flowers,4,3,-0.406009,0.713699,-2.179078,1.367060,1.773069,1,0,2
oxford_flowers,Flowers,16,3,-0.514278,0.261027,-1.162758,0.134202,0.648480,0,0,3
caltech101,Caltech,1,3,0.175794,0.304485,-0.580649,0.932238,0.756444,1,2,0
caltech101,Caltech,4,3,0.202840,0.121704,-0.099514,0.505193,0.302354,3,0,0
caltech101,Caltech,16,3,-0.000000,0.210797,-0.523692,0.523692,0.523692,2,0,1
dtd,DTD,1,3,0.059102,0.740542,-1.780654,1.898857,1.839756,2,0,1
dtd,DTD,4,3,-0.374310,0.748362,-2.233494,1.484873,1.859184,1,0,2
dtd,DTD,16,3,-0.078802,0.865256,-2.228390,2.070786,2.149588,2,0,1
ucf101,UCF,1,3,0.378888,0.358894,-0.512725,1.270501,0.891613,2,1,0
ucf101,UCF,4,3,0.696097,0.119198,0.399969,0.992224,0.296127,3,0,0
ucf101,UCF,16,3,-0.704908,0.491228,-1.925284,0.515468,1.220376,0,0,3
