dataset,dataset_label,shot,method,method_label,n,mean_accuracy,std_accuracy,ci95_low,ci95_high,ci95_half_width,seeds,parameter_count,runtime_seconds_total,git_revisions
fgvc,Aircraft,1,lora,CLIP-LoRA r=8,3,28.952895,1.622660,24.921658,32.984132,4.031237,1 2 3,737280,362.398045,78e450499dd79abf77890b2f94e3475edb6df953
fgvc,Aircraft,1,ohsinglora,"OrthoAdapt H=2,r=8",3,30.893089,0.872842,28.724656,33.061523,2.168434,1 2 3,460800,567.897289,78e450499dd79abf77890b2f94e3475edb6df953
fgvc,Aircraft,4,lora,CLIP-LoRA r=8,3,38.193819,1.011684,35.680454,40.707185,2.513365,1 2 3,737280,1214.403757,78e450499dd79abf77890b2f94e3475edb6df953
fgvc,Aircraft,4,ohsinglora,"OrthoAdapt H=2,r=8",3,38.903890,0.623841,37.354058,40.453723,1.549833,1 2 3,460800,2049.351289,78e450499dd79abf77890b2f94e3475edb6df953
fgvc,Aircraft,16,lora,CLIP-LoRA r=8,3,56.985699,0.635988,55.405689,58.565708,1.580010,1 2 3,737280,4456.986528,78e450499dd79abf77890b2f94e3475edb6df953
fgvc,Aircraft,16,ohsinglora,"OrthoAdapt H=2,r=8",3,56.625663,0.779116,54.690075,58.561250,1.935587,1 2 3,460800,7909.295037,78e450499dd79abf77890b2f94e3475edb6df953
eurosat,EuroSAT,1,lora,CLIP-LoRA r=8,3,73.465021,5.574130,59.616997,87.313044,13.848024,1 2 3,737280,267.185553,78e450499dd79abf77890b2f94e3475edb6df953
eurosat,EuroSAT,1,ohsinglora,"OrthoAdapt H=2,r=8",3,75.008230,6.186310,59.639343,90.377118,15.368887,1 2 3,460800,418.572321,78e450499dd79abf77890b2f94e3475edb6df953
eurosat,EuroSAT,4,lora,CLIP-LoRA r=8,3,84.358025,3.635105,75.327193,93.388856,9.030831,1 2 3,737280,1006.934667,78e450499dd79abf77890b2f94e3475edb6df953
eurosat,EuroSAT,4,ohsinglora,"OrthoAdapt H=2,r=8",3,85.777778,2.812323,78.791017,92.764539,6.986761,1 2 3,460800,1655.067662,78e450499dd79abf77890b2f94e3475edb6df953
eurosat,EuroSAT,16,lora,CLIP-LoRA r=8,3,92.419753,1.786373,87.981798,96.857708,4.437955,1 2 3,737280,3977.836396,78e450499dd79abf77890b2f94e3475edb6df953
eurosat,EuroSAT,16,ohsinglora,"OrthoAdapt H=2,r=8",3,92.670782,1.547615,88.825983,96.515581,3.844799,1 2 3,460800,7404.555159,78e450499dd79abf77890b2f94e3475edb6df953
food101,Food,1,lora,CLIP-LoRA r=8,3,83.968097,0.655615,82.339328,85.596866,1.628769,1 2 3,737280,307.436356,78e450499dd79abf77890b2f94e3475edb6df953
food101,Food,1,ohsinglora,"OrthoAdapt H=2,r=8",3,85.002200,0.452631,83.877712,86.126688,1.124488,1 2 3,460800,617.046308,78e450499dd79abf77890b2f94e3475edb6df953
food101,Food,4,lora,CLIP-LoRA r=8,3,83.201320,0.372089,82.276924,84.125716,0.924396,1 2 3,737280,1128.044747,78e450499dd79abf77890b2f94e3475edb6df953
food101,Food,4,ohsinglora,"OrthoAdapt H=2,r=8",3,83.656766,0.303074,82.903828,84.409704,0.752938,1 2 3,460800,2529.853203,78e450499dd79abf77890b2f94e3475edb6df953
food101,Food,16,lora,CLIP-LoRA r=8,3,84.512651,0.402171,83.513522,85.511780,0.999129,1 2 3,737280,4244.101217,78e450499dd79abf77890b2f94e3475edb6df953
food101,Food,16,ohsinglora,"OrthoAdapt H=2,r=8",3,84.456546,0.167191,84.041186,84.871906,0.415360,1 2 3,460800,9547.997295,78e450499dd79abf77890b2f94e3475edb6df953
oxford_pets,Pets,1,lora,CLIP-LoRA r=8,3,90.460616,0.687895,88.751653,92.169579,1.708963,1 2 3,737280,302.261218,78e450499dd79abf77890b2f94e3475edb6df953
oxford_pets,Pets,1,ohsinglora,"OrthoAdapt H=2,r=8",3,91.668938,0.804996,89.669057,93.668819,1.999881,1 2 3,460800,988.844375,78e450499dd79abf77890b2f94e3475edb6df953
oxford_pets,Pets,4,lora,CLIP-LoRA r=8,3,90.605978,0.587310,89.146902,92.065054,1.459076,1 2 3,737280,1008.639914,78e450499dd79abf77890b2f94e3475edb6df953
oxford_pets,Pets,4,ohsinglora,"OrthoAdapt H=2,r=8",3,91.114745,0.423117,90.063579,92.165912,1.051167,1 2 3,460800,2856.060007,78e450499dd79abf77890b2f94e3475edb6df953
oxford_pets,Pets,16,lora,CLIP-LoRA r=8,3,92.686472,0.607210,91.177957,94.194988,1.508515,1 2 3,737280,3467.457487,78e450499dd79abf77890b2f94e3475edb6df953
oxford_pets,Pets,16,ohsinglora,"OrthoAdapt H=2,r=8",3,92.959026,0.154981,92.574002,93.344050,0.385024,1 2 3,460800,9406.750458,78e450499dd79abf77890b2f94e3475edb6df953
oxford_flowers,Flowers,1,lora,CLIP-LoRA r=8,3,84.449858,1.688236,80.255709,88.644006,4.194149,1 2 3,737280,313.975682,78e450499dd79abf77890b2f94e3475edb6df953
oxford_flowers,Flowers,1,ohsinglora,"OrthoAdapt H=2,r=8",3,84.639329,0.536075,83.307536,85.971121,1.331792,1 2 3,460800,800.960202,78e450499dd79abf77890b2f94e3475edb6df953
oxford_flowers,Flowers,4,lora,CLIP-LoRA r=8,3,94.383543,0.753399,92.511845,96.255241,1.871698,1 2 3,737280,1157.357832,78e450499dd79abf77890b2f94e3475edb6df953
oxford_flowers,Flowers,4,ohsinglora,"OrthoAdapt H=2,r=8",3,93.977534,0.315366,93.194059,94.761009,0.783475,1 2 3,460800,2618.639897,78e450499dd79abf77890b2f94e3475edb6df953
oxford_flowers,Flowers,16,lora,CLIP-LoRA r=8,3,98.267695,0.164087,97.860049,98.675342,0.407647,1 2 3,737280,4346.117244,78e450499dd79abf77890b2f94e3475edb6df953
oxford_flowers,Flowers,16,ohsinglora,"OrthoAdapt H=2,r=8",3,97.753417,0.410718,96.733054,98.773781,1.020363,1 2 3,460800,9670.190471,78e450499dd79abf77890b2f94e3475edb6df953
caltech101,Caltech,1,lora,CLIP-LoRA r=8,3,93.725490,0.345026,92.868328,94.582652,0.857162,1 2 3,737280,292.014608,78e450499dd79abf77890b2f94e3475edb6df953
caltech101,Caltech,1,ohsinglora,"OrthoAdapt H=2,r=8",3,93.901285,0.276140,93.215259,94.587311,0.686026,1 2 3,460800,770.047909,78e450499dd79abf77890b2f94e3475edb6df953
caltech101,Caltech,4,lora,CLIP-LoRA r=8,3,95.077755,0.422245,94.028757,96.126754,1.048998,1 2 3,737280,1096.479611,78e450499dd79abf77890b2f94e3475edb6df953
caltech101,Caltech,4,ohsinglora,"OrthoAdapt H=2,r=8",3,95.280595,0.410385,94.261059,96.300131,1.019536,1 2 3,460800,2569.579876,78e450499dd79abf77890b2f94e3475edb6df953
caltech101,Caltech,16,lora,CLIP-LoRA r=8,3,96.335362,0.182931,95.880899,96.789824,0.454463,1 2 3,737280,4222.976430,78e450499dd79abf77890b2f94e3475edb6df953
caltech101,Caltech,16,ohsinglora,"OrthoAdapt H=2,r=8",3,96.335362,0.117110,96.044422,96.626302,0.290940,1 2 3,460800,9458.965758,78e450499dd79abf77890b2f94e3475edb6df953
dtd,DTD,1,lora,CLIP-LoRA r=8,3,54.550827,0.772854,52.630796,56.470859,1.920032,1 2 3,737280,328.941081,78e450499dd79abf77890b2f94e3475edb6df953
dtd,DTD,1,ohsinglora,"OrthoAdapt H=2,r=8",3,54.609929,1.491658,50.904145,58.315713,3.705784,1 2 3,460800,1016.373751,78e450499dd79abf77890b2f94e3475edb6df953
dtd,DTD,4,lora,CLIP-LoRA r=8,3,65.701340,0.502654,64.452578,66.950101,1.248762,1 2 3,737280,1033.089263,78e450499dd79abf77890b2f94e3475edb6df953
dtd,DTD,4,ohsinglora,"OrthoAdapt H=2,r=8",3,65.327029,1.143481,62.486236,68.167822,2.840793,1 2 3,460800,2835.123251,78e450499dd79abf77890b2f94e3475edb6df953
dtd,DTD,16,lora,CLIP-LoRA r=8,3,73.286052,0.504965,72.031549,74.540555,1.254503,1 2 3,737280,3473.902356,78e450499dd79abf77890b2f94e3475edb6df953
dtd,DTD,16,ohsinglora,"OrthoAdapt H=2,r=8",3,73.207250,0.393518,72.229617,74.184882,0.977632,1 2 3,460800,9362.241754,78e450499dd79abf77890b2f94e3475edb6df953
ucf101,UCF,1,lora,CLIP-LoRA r=8,3,76.288660,0.914557,74.016591,78.560728,2.272069,1 2 3,737280,290.462453,78e450499dd79abf77890b2f94e3475edb6df953
ucf101,UCF,1,ohsinglora,"OrthoAdapt H=2,r=8",3,76.667548,0.567153,75.258549,78.076546,1.408999,1 2 3,460800,778.783524,78e450499dd79abf77890b2f94e3475edb6df953
ucf101,UCF,4,lora,CLIP-LoRA r=8,3,81.046788,1.084763,78.351871,83.741705,2.694917,1 2 3,737280,1105.793182,78e450499dd79abf77890b2f94e3475edb6df953
ucf101,UCF,4,ohsinglora,"OrthoAdapt H=2,r=8",3,81.742885,1.138302,78.914957,84.570812,2.827928,1 2 3,460800,2548.904377,78e450499dd79abf77890b2f94e3475edb6df953
ucf101,UCF,16,lora,CLIP-LoRA r=8,3,86.853467,0.586534,85.396318,88.310616,1.457149,1 2 3,737280,4202.205404,78e450499dd79abf77890b2f94e3475edb6df953
ucf101,UCF,16,ohsinglora,"OrthoAdapt H=2,r=8",3,86.148559,0.756494,84.269172,88.027947,1.879387,1 2 3,460800,9430.719873,78e450499dd79abf77890b2f94e3475edb6df953
