dataset,shot,method,split,n,mean_accuracy,std_accuracy,ci95_half_width,seeds,parameter_count,runtime_seconds_total,git_revisions
caltech101,1,lora,test,3,93.739013,0.247874,0.615804,1 2 3,368640,365.125332,8129bd1b2d3ca6aeb3010150142020c66f5ad403
caltech101,1,ohsinglora,test,3,94.144692,0.117110,0.290940,1 2 3,276480,524.985395,8129bd1b2d3ca6aeb3010150142020c66f5ad403
caltech101,4,lora,test,3,95.429344,0.513683,1.276162,1 2 3,368640,1153.866845,8129bd1b2d3ca6aeb3010150142020c66f5ad403
caltech101,4,ohsinglora,test,3,95.456389,0.281063,0.698256,1 2 3,276480,1933.095107,8129bd1b2d3ca6aeb3010150142020c66f5ad403
caltech101,16,lora,test,3,96.335362,0.102094,0.253635,1 2 3,368640,4153.804012,8129bd1b2d3ca6aeb3010150142020c66f5ad403
caltech101,16,ohsinglora,test,3,96.294794,0.061969,0.153951,1 2 3,276480,6754.795494,8129bd1b2d3ca6aeb3010150142020c66f5ad403
dtd,1,lora,test,3,54.314421,0.852376,2.117591,1 2 3,368640,478.644972,8129bd1b2d3ca6aeb3010150142020c66f5ad403
dtd,1,ohsinglora,test,3,51.536643,1.245349,3.093868,1 2 3,276480,603.203814,8129bd1b2d3ca6aeb3010150142020c66f5ad403
dtd,4,lora,test,3,65.602837,1.279930,3.179778,1 2 3,368640,1228.810195,8129bd1b2d3ca6aeb3010150142020c66f5ad403
dtd,4,ohsinglora,test,3,65.011820,0.726253,1.804259,1 2 3,276480,1787.908072,8129bd1b2d3ca6aeb3010150142020c66f5ad403
dtd,16,lora,test,3,73.148148,0.447511,1.111767,1 2 3,368640,3580.343263,8129bd1b2d3ca6aeb3010150142020c66f5ad403
dtd,16,ohsinglora,test,3,72.754137,0.213094,0.529398,1 2 3,276480,5784.027022,8129bd1b2d3ca6aeb3010150142020c66f5ad403
eurosat,1,lora,test,3,74.041152,6.258387,15.547949,1 2 3,368640,578.918834,8129bd1b2d3ca6aeb3010150142020c66f5ad403
eurosat,1,ohsinglora,test,3,70.942387,4.809531,11.948501,1 2 3,276480,652.677667,8129bd1b2d3ca6aeb3010150142020c66f5ad403
eurosat,4,lora,test,3,85.518519,2.408926,5.984588,1 2 3,368640,1625.031592,8129bd1b2d3ca6aeb3010150142020c66f5ad403
eurosat,4,ohsinglora,test,3,85.777778,1.278776,3.176913,1 2 3,276480,2075.413100,8129bd1b2d3ca6aeb3010150142020c66f5ad403
eurosat,16,lora,test,3,92.341564,1.302474,3.235786,1 2 3,368640,4855.195272,8129bd1b2d3ca6aeb3010150142020c66f5ad403
eurosat,16,ohsinglora,test,3,92.460905,1.009129,2.507017,1 2 3,276480,7010.722631,8129bd1b2d3ca6aeb3010150142020c66f5ad403
fgvc,1,lora,test,3,29.692969,1.781161,4.425006,1 2 3,368640,432.195099,8129bd1b2d3ca6aeb3010150142020c66f5ad403
fgvc,1,ohsinglora,test,3,28.592859,1.730838,4.299986,1 2 3,276480,580.050981,8129bd1b2d3ca6aeb3010150142020c66f5ad403
fgvc,4,lora,test,3,38.233823,0.749675,1.862446,1 2 3,368640,1252.621879,8129bd1b2d3ca6aeb3010150142020c66f5ad403
fgvc,4,ohsinglora,test,3,37.633763,1.582024,3.930283,1 2 3,276480,1888.458858,8129bd1b2d3ca6aeb3010150142020c66f5ad403
fgvc,16,lora,test,3,56.895690,0.745460,1.851976,1 2 3,368640,4276.557687,8129bd1b2d3ca6aeb3010150142020c66f5ad403
fgvc,16,ohsinglora,test,3,55.335534,0.351603,0.873501,1 2 3,276480,6867.814694,8129bd1b2d3ca6aeb3010150142020c66f5ad403
food101,1,lora,test,3,84.374037,0.339426,0.843250,1 2 3,368640,382.324496,8129bd1b2d3ca6aeb3010150142020c66f5ad403
food101,1,ohsinglora,test,3,83.972497,0.094180,0.233975,1 2 3,276480,531.828902,8129bd1b2d3ca6aeb3010150142020c66f5ad403
food101,4,lora,test,3,83.524752,0.404624,1.005222,1 2 3,368640,1185.429524,8129bd1b2d3ca6aeb3010150142020c66f5ad403
food101,4,ohsinglora,test,3,83.761276,0.117629,0.292231,1 2 3,276480,1818.333080,8129bd1b2d3ca6aeb3010150142020c66f5ad403
food101,16,lora,test,3,84.369637,0.499681,1.241377,1 2 3,368640,4162.908710,8129bd1b2d3ca6aeb3010150142020c66f5ad403
food101,16,ohsinglora,test,3,84.499450,0.346791,0.861547,1 2 3,276480,6773.462096,8129bd1b2d3ca6aeb3010150142020c66f5ad403
oxford_flowers,1,lora,test,3,83.949114,1.280270,3.180624,1 2 3,368640,386.377041,8129bd1b2d3ca6aeb3010150142020c66f5ad403
oxford_flowers,1,ohsinglora,test,3,73.528218,0.959934,2.384801,1 2 3,276480,533.717417,8129bd1b2d3ca6aeb3010150142020c66f5ad403
