dataset,shot,method,split,n,mean_accuracy,std_accuracy,ci95_half_width,seeds,parameter_count,runtime_seconds_total,git_revisions
caltech101,1,lora,test,3,93.820149,0.204188,0.507271,1 2 3,184320,364.692969,7e51c2ba211e5cea1fb7049cf4da99a598999a09
caltech101,1,ohsinglora,test,3,93.820149,0.237707,0.590543,1 2 3,184320,558.857948,7e51c2ba211e5cea1fb7049cf4da99a598999a09
caltech101,4,lora,test,3,95.605139,0.163953,0.407316,1 2 3,184320,1161.317503,7e51c2ba211e5cea1fb7049cf4da99a598999a09
caltech101,4,ohsinglora,test,3,95.632184,0.093688,0.232752,1 2 3,184320,1961.944649,7e51c2ba211e5cea1fb7049cf4da99a598999a09
caltech101,16,lora,test,3,96.105477,0.040568,0.100785,1 2 3,184320,4166.865747,7e51c2ba211e5cea1fb7049cf4da99a598999a09
caltech101,16,ohsinglora,test,3,96.267748,0.107333,0.266651,1 2 3,184320,7406.806169,7e51c2ba211e5cea1fb7049cf4da99a598999a09
dtd,1,lora,test,3,54.137116,0.987192,2.452519,1 2 3,184320,473.398937,7e51c2ba211e5cea1fb7049cf4da99a598999a09
dtd,1,ohsinglora,test,3,52.226162,0.402297,0.999441,1 2 3,184320,651.903976,7e51c2ba211e5cea1fb7049cf4da99a598999a09
dtd,4,lora,test,3,64.322301,0.838605,2.083379,1 2 3,184320,1229.005850,7e51c2ba211e5cea1fb7049cf4da99a598999a09
dtd,4,ohsinglora,test,3,64.854216,0.297472,0.739021,1 2 3,184320,1964.213789,7e51c2ba211e5cea1fb7049cf4da99a598999a09
dtd,16,lora,test,3,73.364854,1.083888,2.692746,1 2 3,184320,3593.765257,7e51c2ba211e5cea1fb7049cf4da99a598999a09
dtd,16,ohsinglora,test,3,72.635934,0.639282,1.588193,1 2 3,184320,6466.630707,7e51c2ba211e5cea1fb7049cf4da99a598999a09
eurosat,1,lora,test,3,73.506173,5.090718,12.647065,1 2 3,184320,582.908016,7e51c2ba211e5cea1fb7049cf4da99a598999a09
eurosat,1,ohsinglora,test,3,69.559671,7.274008,18.071096,1 2 3,184320,716.741703,7e51c2ba211e5cea1fb7049cf4da99a598999a09
eurosat,4,lora,test,3,85.777778,2.856658,7.096904,1 2 3,184320,1680.932688,7e51c2ba211e5cea1fb7049cf4da99a598999a09
eurosat,4,ohsinglora,test,3,84.897119,3.323312,8.256231,1 2 3,184320,2295.872861,7e51c2ba211e5cea1fb7049cf4da99a598999a09
eurosat,16,lora,test,3,92.477366,1.383175,3.436275,1 2 3,184320,4913.722223,7e51c2ba211e5cea1fb7049cf4da99a598999a09
eurosat,16,ohsinglora,test,3,92.341564,1.323370,3.287699,1 2 3,184320,7875.487969,7e51c2ba211e5cea1fb7049cf4da99a598999a09
fgvc,1,lora,test,3,30.193019,1.411842,3.507494,1 2 3,184320,427.359467,7e51c2ba211e5cea1fb7049cf4da99a598999a09
fgvc,1,ohsinglora,test,3,28.432843,1.088962,2.705349,1 2 3,184320,634.607854,7e51c2ba211e5cea1fb7049cf4da99a598999a09
fgvc,4,lora,test,3,38.193819,0.822214,2.042657,1 2 3,184320,1253.453626,7e51c2ba211e5cea1fb7049cf4da99a598999a09
fgvc,4,ohsinglora,test,3,38.823882,1.384046,3.438438,1 2 3,184320,2070.282473,7e51c2ba211e5cea1fb7049cf4da99a598999a09
fgvc,16,lora,test,3,54.855486,1.204737,2.992973,1 2 3,184320,4279.210190,7e51c2ba211e5cea1fb7049cf4da99a598999a09
fgvc,16,ohsinglora,test,3,54.765477,0.669096,1.662261,1 2 3,184320,7680.875636,7e51c2ba211e5cea1fb7049cf4da99a598999a09
food101,1,lora,test,3,84.556656,0.531766,1.321088,1 2 3,184320,382.096290,7e51c2ba211e5cea1fb7049cf4da99a598999a09
food101,1,ohsinglora,test,3,84.599560,0.298937,0.742659,1 2 3,184320,581.971111,7e51c2ba211e5cea1fb7049cf4da99a598999a09
food101,4,lora,test,3,83.719472,0.137707,0.342111,1 2 3,184320,1189.365047,7e51c2ba211e5cea1fb7049cf4da99a598999a09
food101,4,ohsinglora,test,3,83.798680,0.240290,0.596962,1 2 3,184320,2037.768385,7e51c2ba211e5cea1fb7049cf4da99a598999a09
food101,16,lora,test,3,84.419142,0.254125,0.631333,1 2 3,184320,4171.214706,7e51c2ba211e5cea1fb7049cf4da99a598999a09
food101,16,ohsinglora,test,3,84.591859,0.320223,0.795542,1 2 3,184320,7475.001773,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_flowers,1,lora,test,3,83.448369,0.624163,1.550632,1 2 3,184320,387.143634,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_flowers,1,ohsinglora,test,3,72.188388,1.442903,3.584660,1 2 3,184320,587.857526,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_flowers,4,lora,test,3,93.842198,0.461733,1.147101,1 2 3,184320,1206.602224,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_flowers,4,ohsinglora,test,3,92.651238,0.492260,1.222940,1 2 3,184320,2040.901531,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_flowers,16,lora,test,3,97.915821,0.345307,0.857858,1 2 3,184320,4268.359554,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_flowers,16,ohsinglora,test,3,97.875220,0.480968,1.194887,1 2 3,184320,7557.067987,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_pets,1,lora,test,3,91.360044,0.419591,1.042407,1 2 3,184320,453.101356,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_pets,1,ohsinglora,test,3,89.951849,0.325166,0.807823,1 2 3,184320,628.292346,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_pets,4,lora,test,3,91.169256,0.407010,1.011150,1 2 3,184320,1246.603261,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_pets,4,ohsinglora,test,3,91.314618,0.191436,0.475591,1 2 3,184320,1983.735598,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_pets,16,lora,test,3,93.131643,0.499599,1.241174,1 2 3,184320,3615.449353,7e51c2ba211e5cea1fb7049cf4da99a598999a09
oxford_pets,16,ohsinglora,test,3,93.386027,0.068591,0.170404,1 2 3,184320,6413.307478,7e51c2ba211e5cea1fb7049cf4da99a598999a09
ucf101,1,lora,test,3,76.332717,0.239857,0.595885,1 2 3,184320,363.114449,7e51c2ba211e5cea1fb7049cf4da99a598999a09
ucf101,1,ohsinglora,test,3,74.420654,0.385188,0.956937,1 2 3,184320,562.008539,7e51c2ba211e5cea1fb7049cf4da99a598999a09
ucf101,4,lora,test,3,81.769319,1.579494,3.923998,1 2 3,184320,1162.389567,7e51c2ba211e5cea1fb7049cf4da99a598999a09
ucf101,4,ohsinglora,test,3,81.672394,0.810596,2.013795,1 2 3,184320,1980.045903,7e51c2ba211e5cea1fb7049cf4da99a598999a09
ucf101,16,lora,test,3,86.615561,0.326258,0.810535,1 2 3,184320,4146.395023,7e51c2ba211e5cea1fb7049cf4da99a598999a09
ucf101,16,ohsinglora,test,3,86.404088,0.505943,1.256934,1 2 3,184320,7442.624659,7e51c2ba211e5cea1fb7049cf4da99a598999a09
