source_scope,H,r,lambda_o,shot,n,datasets,seeds,mean_accuracy,std_accuracy,ci95_low,ci95_high,parameter_count
validation_plus_h1,1,2,0.0,4,6,caltech101 eurosat,1 2 3,91.333333,4.938792,86.149546,96.517121,138240
validation_plus_h1,1,4,0.0,4,6,caltech101 eurosat,1 2 3,89.750000,7.752419,81.613012,97.886988,230400
validation_plus_h1,2,2,0.0,4,6,caltech101 eurosat,1 2 3,90.958333,4.133451,86.619837,95.296830,184320
validation_plus_h1,2,2,0.01,4,6,caltech101 eurosat,1 2 3,90.125000,5.759232,84.080074,96.169926,184320
validation_plus_h1,2,2,0.03,4,6,caltech101 eurosat,1 2 3,90.958333,4.133451,86.619837,95.296830,184320
validation_plus_h1,2,2,0.05,4,6,caltech101 eurosat,1 2 3,91.000000,4.174326,86.618601,95.381399,184320
validation_plus_h1,2,4,0.0,4,6,caltech101 eurosat,1 2 3,91.125000,4.895789,85.986349,96.263651,276480
validation_plus_h1,2,4,0.01,4,6,caltech101 eurosat,1 2 3,90.666667,5.530973,84.861322,96.472011,276480
validation_plus_h1,2,4,0.03,4,6,caltech101 eurosat,1 2 3,90.708333,5.564209,84.868105,96.548562,276480
validation_plus_h1,2,4,0.05,4,6,caltech101 eurosat,1 2 3,90.791667,5.622314,84.890450,96.692883,276480
validation_plus_h1,2,8,0.0,4,6,caltech101 eurosat,1 2 3,91.166667,4.905779,86.017530,96.315803,460800
validation_plus_h1,2,8,0.01,4,6,caltech101 eurosat,1 2 3,91.208333,4.935627,86.027868,96.388799,460800
validation_plus_h1,2,8,0.03,4,6,caltech101 eurosat,1 2 3,91.666667,4.414937,87.032721,96.300612,460800
validation_plus_h1,2,8,0.05,4,6,caltech101 eurosat,1 2 3,91.583333,4.360810,87.006199,96.160468,460800
validation_plus_h1,4,4,0.0,4,6,caltech101 eurosat,1 2 3,90.750000,6.016644,84.434893,97.065107,368640
validation_plus_h1,4,4,0.01,4,6,caltech101 eurosat,1 2 3,90.791667,6.034104,84.458232,97.125101,368640
validation_plus_h1,4,4,0.03,4,6,caltech101 eurosat,1 2 3,90.791667,6.042385,84.449541,97.133792,368640
validation_plus_h1,4,4,0.05,4,6,caltech101 eurosat,1 2 3,90.791667,6.034104,84.458232,97.125101,368640
validation_plus_h1,4,8,0.0,4,6,caltech101 eurosat,1 2 3,91.083333,4.303100,86.566773,95.599894,552960
validation_plus_h1,4,8,0.01,4,6,caltech101 eurosat,1 2 3,91.041667,4.279067,86.550330,95.533003,552960
validation_plus_h1,4,8,0.03,4,6,caltech101 eurosat,1 2 3,90.625000,4.784741,85.602905,95.647095,552960
validation_plus_h1,4,8,0.05,4,6,caltech101 eurosat,1 2 3,90.625000,4.784741,85.602905,95.647095,552960
