severity,shot,paired_n,mean_delta,ci95_low,ci95_high,mean_lora_drop,mean_oh_drop,mean_drop_delta
0,1,24,-9.560622,-13.742756,-5.378488,0.000000,0.000000,0.000000
0,4,24,-15.390324,-21.109710,-9.670938,0.000000,0.000000,0.000000
0,16,24,-21.497552,-28.340116,-14.654988,0.000000,0.000000,0.000000
1,1,24,-9.948919,-14.319091,-5.578747,4.250562,4.638859,0.388297
1,4,24,-15.459362,-21.420240,-9.498484,4.569820,4.638859,0.069038
1,16,24,-20.147457,-26.510978,-13.783936,5.988953,4.638859,-1.350095
2,1,24,-8.212194,-10.847658,-5.576729,17.279472,15.931043,-1.348429
2,4,24,-11.916164,-15.747537,-8.084790,19.405204,15.931043,-3.474160
2,16,24,-14.734909,-18.987928,-10.481890,22.693686,15.931043,-6.762643
3,1,24,-6.840082,-8.412393,-5.267771,30.232061,27.511521,-2.720540
3,4,24,-9.961477,-12.677031,-7.245924,32.940367,27.511521,-5.428846
3,16,24,-10.905057,-14.100186,-7.709929,38.104016,27.511521,-10.592495
