sheet,workbook_row,source_layout,dataset,shot,method,rank,heads,lambda_o,loss,workbook_accuracy,workbook_log_file,match_mode,candidate_log_count,matched_log_path,matched_log_artifact_id,matched_log_accuracy,absolute_delta,status
ohsinglora,13,wide,fgvc,1,lora,,,,,30.2,,method_dataset_shot,7,data/result_scan_loss/results_logs_loss_lora/lora_fgvc_1shot_ce_maxent_LAMBDA_O0.03.log,DATA-0688,28.92,1.2799999999999976,accuracy_mismatch
ohsinglora,13,wide,eurosat,1,lora,,,,,72.3,,method_dataset_shot,7,data/result_scan_loss/results_logs_loss_lora/lora_eurosat_1shot_ce_maxent_LAMBDA_O0.03.log,DATA-0676,71.95,0.3499999999999943,accuracy_mismatch
ohsinglora,13,wide,food101,1,lora,,,,,84.3,,method_dataset_shot,7,data/result_scan_loss/results_logs_loss_lora/lora_food101_1shot_ce_ls_LAMBDA_O0.03.log,DATA-0699,84.56,0.2600000000000051,accuracy_mismatch
ohsinglora,13,wide,oxford_pets,1,lora,,,,,92.3,,method_dataset_shot,7,data/result_scan_loss/results_logs_loss_lora/lora_oxford_pets_1shot_ce_maxent_LAMBDA_O0.03.log,DATA-0724,91.91,0.39000000000000057,accuracy_mismatch
ohsinglora,13,wide,oxford_flowers,1,lora,,,,,83.2,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_oxford_flowers_1shot.log,DATA-0472,83.35,0.14999999999999147,accuracy_mismatch
ohsinglora,13,wide,caltech101,1,lora,,,,,93.7,,method_dataset_shot,7,data/result_scan_loss/results_logs_loss_lora/lora_caltech101_1shot_ce_maxent_LAMBDA_O0.03.log,DATA-0652,93.71,0.009999999999990905,accuracy_match
ohsinglora,13,wide,dtd,1,lora,,,,,54.3,,method_dataset_shot,7,data/result_scan_loss/results_logs_loss_lora/lora_dtd_1shot_ce_maxent_LAMBDA_O0.03.log,DATA-0664,54.2,0.09999999999999432,accuracy_mismatch
ohsinglora,13,wide,ucf101,1,lora,,,,,76.3,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_ucf101_1shot.log,DATA-0476,76.29,0.009999999999990905,accuracy_match
ohsinglora,14,wide,fgvc,1,lora,,,,,28.71,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_fgvc_1shot.log,DATA-0467,28.71,0.0,accuracy_match
ohsinglora,14,wide,eurosat,1,lora,,,,,72.88,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_eurosat_1shot.log,DATA-0464,72.88,0.0,accuracy_match
ohsinglora,14,wide,food101,1,lora,,,,,85.08,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_food101_1shot.log,DATA-0470,85.08,0.0,accuracy_match
ohsinglora,14,wide,oxford_pets,1,lora,,,,,91.52,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_oxford_pets_1shot.log,DATA-0474,91.52,0.0,accuracy_match
ohsinglora,14,wide,oxford_flowers,1,lora,,,,,83.35,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_oxford_flowers_1shot.log,DATA-0472,83.35,0.0,accuracy_match
ohsinglora,14,wide,caltech101,1,lora,,,,,93.67,,method_dataset_shot,7,data/result_new/results_logs_check_lora/lora_caltech101_1shot.log,DATA-0458,93.67,0.0,accuracy_match
